subject,Question,A,B,C,D,answer,explanation,topic

cpp,Which feature primarily distinguishes C++ from C?,Object-Oriented Programming support,No pointer support,No functions,No arrays,0,C++ extends C with OOP features like classes and objects,basics

cpp,Which of the following correctly describes C++?,Multi-paradigm programming language,Only procedural language,Only scripting language,Assembly language,0,C++ supports procedural, OOP and generic programming,basics

cpp,Who is the creator of C++?,Dennis Ritchie,Bjarne Stroustrup,James Gosling,Guido van Rossum,1,Bjarne Stroustrup developed C++ at Bell Labs,basics

cpp,Which header file is required for standard input/output operations in C++?,iostream,stdio.h,conio.h,stdlib.h,0,iostream provides cin and cout,io

cpp,What is the correct syntax of main function in C++?,int main(),void main(),main(),int start(),0,int main() is standard entry point,basics

cpp,Which operator is used to resolve scope in C++?,::,.,->,#,0,Scope resolution operator accesses global/class members,operators

cpp,Which keyword is used to declare a constant variable in C++?,const,static,final,define,0,const ensures value cannot change,datatype

cpp,What is the default access specifier in a class?,private,public,protected,internal,0,Members are private by default in class,oops

cpp,What is the default access specifier in a struct?,public,private,protected,internal,0,Struct members are public by default,oops

cpp,Which concept hides internal details and shows only essential features?,Abstraction,Encapsulation,Inheritance,Polymorphism,0,Abstraction hides implementation details,oops

cpp,Which concept binds data and functions together?,Encapsulation,Abstraction,Inheritance,Polymorphism,0,Encapsulation groups data and methods,oops

cpp,Which type of inheritance involves multiple base classes?,Multiple inheritance,Single inheritance,Multilevel inheritance,Hierarchical inheritance,0,C++ supports multiple inheritance,oops

cpp,Which keyword is used to define a class in C++?,class,struct,object,define,0,class keyword defines class,oops

cpp,Which function is automatically invoked when an object is created?,Constructor,Destructor,Main,Operator,0,Constructor initializes object,oops

cpp,Which symbol is used to define destructor?,~,!,#,%,0,Tilde (~) defines destructor,oops

cpp,Which of the following best defines polymorphism?,Ability to take multiple forms,Single form execution,Code duplication,Function hiding,0,Polymorphism allows same function name with different behavior,oops

cpp,What is function overloading?,Same function name with different parameters,Same function repeated,Different names same logic,Function override,0,Overloading changes parameters not name,oops

cpp,What is operator overloading?,Redefining operators for user-defined types,Deleting operators,Ignoring operators,Overwriting functions,0,Operators can be customized,oops

cpp,Which keyword is used to allocate memory dynamically?,new,malloc,create,alloc,0,new allocates memory in C++,memory

cpp,Which keyword is used to deallocate memory?,delete,free,remove,clear,0,delete releases allocated memory,memory

cpp,What is a pointer?,Variable storing memory address,Variable storing value,Constant variable,Function pointer,0,Pointers hold addresses,pointers

cpp,Which operator is used to get address of a variable?,&,*,%,@,0,& gives address,pointers

cpp,Which operator dereferences a pointer?,*,&,%,#,0,* accesses value at address,pointers

cpp,What is a null pointer?,Pointer pointing to nothing,Pointer storing zero value,Integer pointer,Invalid variable,0,NULL means no valid address,pointers

cpp,Which data structure follows LIFO?,Stack,Queue,Array,Tree,0,Stack is Last In First Out,stl

cpp,Which data structure follows FIFO?,Queue,Stack,Vector,List,0,Queue is First In First Out,stl

cpp,Which STL container stores unique elements?,set,vector,map,queue,0,set stores unique values,stl

cpp,Which STL container stores key-value pairs?,map,set,vector,list,0,map stores key-value pairs,stl

cpp,Which function is used to sort elements in STL?,sort(),arrange(),order(),filter(),0,sort() is from algorithm library,stl

cpp,What is the time complexity of binary search?,O(log n),O(n),O(1),O(n^2),0,Binary search halves search space,algo

cpp,What is the time complexity of linear search?,O(n),O(log n),O(1),O(n^2),0,Linear search scans all elements,algo

cpp,Which sorting algorithm is fastest on average?,Quick Sort,Bubble Sort,Selection Sort,Insertion Sort,0,Quick sort average O(n log n),algo

cpp,Which keyword is used for exception handling?,try,catch,throw,All,3,All are used in exception handling,exception

cpp,Which block is used to handle exceptions?,catch,try,throw,finally,0,catch handles errors,exception

cpp,Does C++ support finally block?,No,Yes,Only in Java,Optional,0,C++ does not support finally,exception

cpp,Which keyword defines namespace?,namespace,using,scope,define,0,namespace avoids name conflicts,basics

cpp,Which keyword is used to access namespace?,using,include,import,namespace,0,using allows access to namespace,basics

cpp,Which keyword automatically detects variable type?,auto,var,let,static,0,auto introduced in C++11,modern

cpp,Which feature enables generic programming?,Templates,OOP,Encapsulation,Polymorphism,0,Templates allow generic code,stl

cpp,Which symbol is used for lambda expressions?,[],{},(),<>,0,[] defines lambda capture list,modern

cpp,Which loop executes at least once?,do-while,while,for,if,0,do-while runs once even if condition false,loops

cpp,Which keyword terminates loop immediately?,break,continue,exit,return,0,break exits loop,loops

cpp,Which keyword skips current iteration?,continue,break,return,exit,0,continue skips iteration,loops

